Date,HOUR_BIN,passenger_count
2018-02-03,0,5817.0
2018-02-03,4,2159.0
2018-02-03,8,5779.0
2018-02-03,12,8416.0
2018-02-03,16,10673.0
2018-02-03,20,9356.0
2018-02-04,0,6282.0
2018-02-04,4,2244.0
2018-02-04,8,4370.0
2018-02-04,12,7080.0
2018-02-04,16,8550.0
2018-02-04,20,5433.0
2018-02-05,0,1824.0
2018-02-05,4,2512.0
2018-02-05,8,7530.0
2018-02-05,12,6775.0
2018-02-05,16,9355.0
2018-02-05,20,5598.0
2018-02-06,0,1446.0
2018-02-06,4,2221.0
2018-02-06,8,7412.0
2018-02-06,12,6946.0
2018-02-06,16,9695.0
2018-02-06,20,6396.0
2018-02-07,0,1644.0
2018-02-07,4,2348.0
2018-02-07,8,7376.0
2018-02-07,12,7580.0
2018-02-07,16,10428.0
2018-02-07,20,6476.0
2018-02-08,0,1728.0
2018-02-08,4,2462.0
2018-02-08,8,7567.0
2018-02-08,12,7320.0
2018-02-08,16,10700.0
2018-02-08,20,7961.0
2018-02-09,0,2636.0
2018-02-09,4,2643.0
2018-02-09,8,7447.0
2018-02-09,12,7131.0
2018-02-09,16,11888.0
2018-02-09,20,9559.0
2018-02-10,0,5718.0
2018-02-10,4,2074.0
2018-02-10,8,5539.0
2018-02-10,12,8898.0
2018-02-10,16,10016.0
2018-02-10,20,8957.0
2018-02-11,0,6139.0
2018-02-11,4,2295.0
2018-02-11,8,4740.0
2018-02-11,12,7040.0
2018-02-11,16,7064.0
2018-02-11,20,4458.0
2018-02-12,0,1497.0
2018-02-12,4,2541.0
2018-02-12,8,7555.0
2018-02-12,12,6502.0
2018-02-12,16,8996.0
2018-02-12,20,5953.0
2018-02-13,0,1509.0
2018-02-13,4,2400.0
2018-02-13,8,7369.0
2018-02-13,12,7538.0
2018-02-13,16,8350.0
2018-02-13,20,6980.0
2018-02-14,0,1740.0
2018-02-14,4,2475.0
2018-02-14,8,7722.0
2018-02-14,12,7456.0
2018-02-14,16,10975.0
2018-02-14,20,8623.0
2018-02-15,0,2676.0
2018-02-15,4,2567.0
2018-02-15,8,7407.0
2018-02-15,12,6743.0
2018-02-15,16,9931.0
2018-02-15,20,8052.0
2018-02-16,0,2462.0
2018-02-16,4,2329.0
2018-02-16,8,6977.0
2018-02-16,12,7337.0
2018-02-16,16,11843.0
2018-02-16,20,10094.0
2018-02-17,0,6355.0
2018-02-17,4,2246.0
2018-02-17,8,5711.0
2018-02-17,12,8597.0
2018-02-17,16,10611.0
2018-02-17,20,8042.0
2018-02-18,0,5022.0
2018-02-18,4,1777.0
2018-02-18,8,4254.0
2018-02-18,12,6750.0
2018-02-18,16,8215.0
2018-02-18,20,6075.0
2018-02-19,0,2852.0
2018-02-19,4,2015.0
2018-02-19,8,5364.0
2018-02-19,12,6767.0
2018-02-19,16,8682.0
2018-02-19,20,5316.0
2018-02-20,0,1429.0
2018-02-20,4,2045.0
2018-02-20,8,7273.0
2018-02-20,12,6230.0
2018-02-20,16,8411.0
2018-02-20,20,5546.0
2018-02-21,0,1571.0
2018-02-21,4,2023.0
2018-02-21,8,7263.0
2018-02-21,12,6805.0
2018-02-21,16,9399.0
2018-02-21,20,7274.0
2018-02-22,0,2075.0
2018-02-22,4,2187.0
2018-02-22,8,7450.0
2018-02-22,12,7829.0
2018-02-22,16,11181.0
2018-02-22,20,7668.0
2018-02-23,0,2563.0
2018-02-23,4,2292.0
2018-02-23,8,7529.0
2018-02-23,12,7357.0
2018-02-23,16,11934.0
2018-02-23,20,9715.0
